0,,11,22
155,San Fransicao,37.7749295,-122.4194155
156,Pt  Albert,-38.66527800000001,146.688333
157,Flinders Is,-39.9836386,148.052689
158,Pt Jackson,36.1153315,-95.9232846
159,New castle,35.2769211,-97.5984268
160,Glasglow,55.864237,-4.251806
161,Vic,36.0422783,-94.168148
162,Ireland,53.41291,-8.24389
163,King George's Sound,-35.0458333,117.9733333
164,Port Victoria,-34.496667,137.483333
165,Hong Kong,22.396428,114.109497
166,S Australia,-30.0002315,136.2091547
167,Pt Fairy,-38.3810122,142.2292907
168,Somrebaya,-1,-1
169,New Castle,35.2769211,-97.5984268
170,Pt Nicholson,42.6435101,-95.2022578
171,Horitika,-1,-1
172,Whaling grounds,-1,-1
173,Pt Philip,41.148884,-73.48872899999999
174,Pt Phili[,39.949545,-75.1681451
175,Clarke's Is,41.9400435,-87.6527878
176,Queenstown/ Gibralter,-45.0311622,168.6626435
177,Great Island,41.9278469,-70.0728007
178,Portland bay,-38.3291667,141.6361111
179,Bering Strait,65.8938131,-168.3953956
180,Society Islands,-16.7613013,-151.443589
181,Madrid,40.4167754,-3.7037902
182,Kent Group,42.989755,-81.24308400000001
183,Port Davey,-43.32006699999999,145.9135003
184,George Town,38.9097057,-77.06535650000001
185,Wanganui,-39.9300887,175.0478901
186,Norfolk island,-29.040835,167.954712
187,wrecked at Stewarts Island,-1,-1
188,Massachusets,42.4072107,-71.3824374
189,Greenoch,55.95647599999999,-4.771983
190,Kents Group,38.6674847,-90.4347834
191,Norfolk Bay,43.0889069,-86.18949719999999
192,Nantucket,41.2834704,-70.099451
193,Kingstown,13.1600249,-61.2248157
194,Pt Phiilip,-6.2246486,106.8098121
195,Sandwich Is,41.7589615,-70.49393169999999
196,Callao,-12.0508491,-77.1259843
197,Whampoa,29.2845508,-94.8139963
198,Schouten Is,-42.317857,148.281927
199,Mauritus,-20.348404,57.55215200000001
200,Brekreng Straits????,-1,-1
201,Norfolk is,-29.040835,167.954712
202,N Zealand,-40.900557,174.885971
203,Samoa Islands,-12.798491,-170.477306
204,Lady Elliots Is,-24.1128797,152.7140185
205,Warnambool,-38.3686779,142.4982086
206,Leithuia Cape,-1,-1
207,Bermuda,32.3078,-64.7505
208,Maurititus,-20.348404,57.55215200000001
209,Hobsons Bay,-37.8360799,144.8401227
210,Maritius,-20.348404,57.55215200000001
211,Macquarie Harbour,-42.3197515,145.3843373
212,Warrambool,-38.3686779,142.4982086
213,Melbourne via Schutans,-37.8136276,144.9630576
214,United States,37.09024,-95.712891
215,Hamburgh,53.5510846,9.9936819
216,Southhampton,38.5933854,-90.29539249999999
217,Sandridge,35.4703756,-97.5148452
218,N.S.W.,-31.2532183,146.921099
219,U. K.,55.378051,-3.435973
220,Sandwich Islands,-54.429579,-36.587909
221,Valparaiso,41.4730948,-87.0611412
222,Warrnambool,-38.3686779,142.4982086
223,Melourne,-37.8136276,144.9630576
224,Algoa Bay,29.4047787,-95.1720483
225,Southamptshire,-1,-1
226,Plymoouth,41.9584457,-70.6672621
227,United Kingdom,55.378051,-3.435973
228,The Lizard,32.7848528,-96.79022599999999
229,Calcutta via Mauritius,22.572646,88.36389500000001
230,"Auckland, NZ",-36.8484597,174.7633315
231,U K,55.378051,-3.435973
232,Port Cygnet,-43.2,147.09
233,New Zealand via Twofold Bay,-40.900557,174.885971
234,London &amp; Plymouth,42.9669648,-81.32925700000001
235,London via Plymouth,51.5073509,-0.1277583
236,Norfolk Is.,-29.040835,167.954712
237,Sth Aust.,-30.0002315,136.2091547
238,Pt Lincoln,-34.7239963,135.8611498
239,Pt Arthur,-43.17746,147.8420491
240,Sandwich Island,-54.429579,-36.587909
241,Germany,51.165691,10.451526
242,Bay of Islands,-35.1843701,174.1646163
243,Hokianga NZ,-35.4333687,173.4842261
244,Isle France,48.8499198,2.6370411
245,London via Cape of Good Hope,51.5073509,-0.1277583
246,Middlesex,42.467206,-71.2874209
247,Fair Haven,33.5239133,-86.72833969999999
248,London via Port Phillip,51.5073509,-0.1277583
249,Goose Island,41.8870971,-87.67211830000001
250,Victoria NZ,-41.2904017,174.7686615
251,Sudney,-33.8688197,151.2092955
252,N. Zealand,-40.900557,174.885971
253,King George's Sounds,-35.0458333,117.9733333
254,Calcutta via Swan River,-1,-1
255,London &amp; Cape of Good Hope,51.5277744,-0.1440199
256,Port Arthur,29.8849504,-93.93994699999999
257,South Seas Whaling,42.6113738,-70.66362149999999
258,launceston,-41.43322149999999,147.1440875
259,Goose Is,-1,-1
260,Sourabaya,-7.2574719,112.7520883
261,arrived Launceston,-41.5431318,147.2072638
262,Port Nelson,57.05516799999999,-92.596721
263,Sydney &amp; Melbourne,-37.6618944,144.9549449
264,Maria Island,-42.6451462,148.0649698
265,Portland Bay &amp; Port Fairy,-38.3291667,141.6361111
266,Adelaide &amp; Portland Bay,-34.9284989,138.6007456
267,Timor,-9.862794599999999,124.3310364
268,Isle of Wright,50.69384789999999,-1.304734
269,Southamptpon,50.90970040000001,-1.4043509
270,San Franciso,37.7749295,-122.4194155
271,London &amp; Dublin,51.5073509,-0.1277583
272,Pymouth,41.9584457,-70.6672621
273,Plynouth,41.9584457,-70.6672621
274,Sonsabaya,-1,-1
275,"Hokianga, New Zealand",-35.4333687,173.4842261
276,"South Seas, New London",41.3556539,-72.0995209
277,Faveaux Straits,-1,-1
278,Derwent,39.9222544,-81.542811
279,Birchs Bay,-43.1833907,147.2201344
280,Federick Henry Bay,-42.91,147.5999999
281,Isle of France (via Swan River),46.227638,2.213749
282,Honolulu &amp; San Francisco,21.3069444,-157.8583333
283,age 23,45.5309424,-122.868144
284,"London, via Cork",42.922,-81.2053
285,New South Wales,-31.2532183,146.921099
286,Hooghly,22.896256,88.24611829999999
287,South Hampshire,51.05769480000001,-1.3080629
288,Port  Jackson,-33.8462182,151.2488616
289,Great Tasmania,-41.8602187,146.7602507
290,"New Castle, NSW",-32.9282712,151.7816802
291,San Fancisco,37.7749295,-122.4194155
292,Glasgow`,55.864237,-4.251806
293,"St. John's, New Brunswick",45.2733153,-66.06330799999999
294,Sydney via Melbourne,-37.687391,144.9577347
295,Newcastle New South Wales,-32.9282712,151.7816802
296,"Calcutta, Swan River",-1,-1
297,Invercargill NZ,-46.4131866,168.3537731
298,William,37.66599,-95.453778
299,"Otago, New Zealand",-45.47906709999999,170.1547567
300,"Calcutta, Madras",13.1383534,80.23143429999999
301,Woowich,51.4894752,0.06758829999999999
302,Nofolk Island,-29.040835,167.954712
303,Jervis Bay,-35.0480805,150.7446771
304,New Market,37.727132,-97.46441399999999
305,Calcutta and Madras,13.1383534,80.23143429999999
306,Norfold Island,-29.040835,167.954712
307,New Zealand via Sydney,-33.86512940000001,151.2078883
308,Whaling Voyage,41.6352087,-70.9231101
309,Whaling voyage,41.6352087,-70.9231101
310,Kent Group Islands,41.705411,-71.477898
311,Co Antrim,54.715856,-6.1713895
312,Newcastle NSW,-32.9282712,151.7816802
313,Kangaroo Island,-35.7752426,137.2142417
314,Mebourne,-37.8136276,144.9630576
315,"Port Nelson, New Zealand",-41.2639821,173.2781471
316,South Sea,26.5256487,-82.1907806
317,John and Charlotte,34.7700761,-92.3387544
318,Liverpoool,53.4083714,-2.9915726
319,Sydney and Melbourne,-37.809841,144.971965
320,Isles of the South,26.3782367,-80.2129562
321,"Glasgow, Scotland",55.864237,-4.251806
322,Kangarpo Island,-35.7752426,137.2142417
323,"Wellington, New Zealand",-41.2864603,174.776236
324,Sydney via Port Phillip,-33.8688197,151.2092955
325,Lyttelton,-43.6032583,172.7193227
326,Sydney and Port Phillip,-33.864832,151.211898
327,Java,36.1908101,-95.88957479999999
328,Cape St Vincent,37.0233333,-8.994444399999999
329,Melnourne,-37.8136276,144.9630576
330,George,36.7071244,-95.9370565
331,Aukland,-36.8484597,174.7633315
332,Port Nelson NZ,-41.2639821,173.2781471
333,"Port Nelson, NZ1",-1,-1
334,Li verpool,53.4083714,-2.9915726
335,Liverpool and Madiera,32.76070740000001,-16.9594723
336,Penang,5.4163935,100.3326786
337,Downs and Rio de Janiero,-22.9068467,-43.1728965
338,Port Phillip &amp; Sydney,-33.8462182,151.2488616
339,Canterbury NZ,-43.7542275,171.1637245
340,Manila,14.5995124,120.9842195
341,Hobart Town,-42.8821377,147.3271949
342,Port Philip,-37.8464983,144.9666905
343,Lodon,57.70269199999999,11.921419
344,"Dunedin, New Zealand",-45.8787605,170.5027976
345,McQuarie Harbour,-42.3197515,145.3843373
346,London and Rio de Janeiro,-22.8092906,-43.195509
347,Isle de France,48.8499198,2.6370411
348,Spring Bay,40.8244814,-89.5223152
349,Rio de Janeiro,-22.9068467,-43.1728965
350,"Auckland, New Zealand",-36.8484597,174.7633315
351,New Zeland,-40.900557,174.885971
352,Lieth,54.1566126,9.0611414
353,Leith and Cork,-1,-1
354,Portr Phillip,-37.8464983,144.9666905
355,Woolich,-27.3664111,153.0512913
356,Port Melbourne,-37.823889,144.911111
357,Port Chalmers,-45.81589659999999,170.6213504
358,Rio de Janiero,-22.9068467,-43.1728965
359,Port Fairey,-38.3810122,142.2292907
360,Sydney via Twofold Bay,-33.8775,151.2412
361,Liverpool &amp; London,51.5374253,-0.1068189
362,Invercaigill,-46.4131866,168.3537731
363,Feejee,-1,-1
364,"Sydney, via Twofold Bay",-33.87595960000001,151.2430851
365,Batavia and Sydney,-33.8688197,151.2092955
